Time Pressure Temperature AccX AccY AccZ GyroX GyroY GyroZ
69630 97563.71 46.87 0.03 -0.93 -0.36 0.33 1.69 -0.84
69787 97563.94 46.88 0.02 -0.92 -0.37 0.26 1.58 -0.65
69942 97564.13 46.88 0.02 -0.92 -0.38 1.38 1.03 -2.04
70098 97562.14 46.88 0.02 -0.90 -0.43 1.01 2.95 0.36
70255 97560.09 46.88 0.01 -0.90 -0.42 2.37 1.29 -0.63
70410 97562.25 46.89 0.02 -0.91 -0.39 1.16 3.53 -0.68
70566 97560.71 46.89 0.03 -0.92 -0.39 1.12 2.54 -0.35
70722 97560.63 46.89 0.02 -0.91 -0.41 1.01 1.90 -0.41
70879 97562.55 46.89 0.02 -0.90 -0.42 1.75 2.36 -0.79
71037 97560.63 46.89 0.02 -0.91 -0.39 1.59 2.63 -0.70
71193 97562.44 46.90 0.02 -0.91 -0.39 0.80 2.32 -0.56
71349 97562.78 46.90 0.02 -0.90 -0.42 1.59 2.49 -0.36
71504 97561.41 46.90 0.02 -0.91 -0.41 1.73 2.52 0.01
71660 97563.17 46.90 0.02 -0.92 -0.39 1.02 2.69 -0.50
71815 97564.48 46.90 0.02 -0.91 -0.41 1.26 1.83 -0.72
71971 97563.34 46.91 0.02 -0.91 -0.41 1.33 2.02 -0.40
72127 97562.91 46.91 0.02 -0.91 -0.41 1.59 2.39 -0.75
72282 97563.74 46.91 0.02 -0.91 -0.40 1.13 2.49 -0.61
72439 97563.74 46.91 0.02 -0.91 -0.41 1.59 2.50 -0.73
72595 97562.89 46.91 0.02 -0.91 -0.41 1.32 2.47 -0.26
72751 97562.11 46.91 0.01 -0.91 -0.40 1.35 2.11 -0.93
72906 97563.53 46.92 0.03 -0.92 -0.39 0.89 1.75 -1.17
73062 97566.10 46.92 0.02 -0.90 -0.42 1.55 3.20 0.15
73218 97562.34 46.92 0.01 -0.91 -0.41 1.62 2.60 -0.87
73375 97562.52 46.92 0.03 -0.91 -0.39 0.94 1.95 -0.56
73530 97563.96 46.92 0.02 -0.91 -0.41 1.21 2.39 -0.49
73686 97562.94 46.92 0.02 -0.91 -0.41 1.52 2.59 -0.62
73842 97563.96 46.92 0.02 -0.91 -0.40 1.26 2.02 -0.43
74001 97562.65 46.92 0.02 -0.91 -0.40 1.25 2.35 -0.40
74156 97562.92 46.93 0.03 -0.91 -0.41 1.13 2.35 -0.54
74312 97564.75 46.93 0.01 -0.90 -0.42 1.81 2.53 -0.40
74468 97565.34 46.93 0.02 -0.92 -0.39 1.56 1.81 -0.58
74624 97564.84 46.93 0.02 -0.91 -0.40 0.73 2.62 -0.57
74780 97564.77 46.94 0.02 -0.90 -0.42 1.91 2.58 -0.41
74936 97564.83 46.94 0.02 -0.91 -0.40 1.69 2.46 -0.52
75093 97565.54 46.95 0.02 -0.92 -0.39 1.00 2.08 -0.81
75248 97563.20 46.94 0.02 -0.91 -0.41 1.16 2.22 -0.69
75406 97565.25 46.94 0.02 -0.90 -0.42 1.76 1.75 -1.00
75562 97564.40 46.94 0.03 -0.91 -0.39 1.62 2.72 -0.27
75719 97568.09 46.95 0.02 -0.91 -0.40 0.72 2.38 -0.02
75874 97564.45 46.95 0.02 -0.90 -0.42 1.49 2.43 -0.31
76030 97565.81 46.95 0.02 -0.91 -0.41 1.69 2.75 -0.49
76186 97565.36 46.95 0.02 -0.91 -0.39 1.20 1.86 -0.60
76342 97564.70 46.95 0.02 -0.91 -0.41 1.00 2.17 -0.50
76498 97562.66 46.95 0.02 -0.90 -0.42 1.78 2.47 -0.61
76654 97562.71 46.95 0.02 -0.92 -0.39 1.09 2.49 -0.39
76812 97563.73 46.95 0.02 -0.91 -0.40 1.19 2.52 -0.55
76969 97565.84 46.96 0.02 -0.90 -0.42 1.63 2.33 -0.78
77124 97565.33 46.96 0.02 -0.91 -0.40 1.53 2.46 -0.03
77280 97566.52 46.96 0.02 -0.91 -0.40 1.17 2.42 -0.60
77436 97564.47 46.96 0.02 -0.91 -0.41 1.49 2.51 -0.63
77591 97565.41 46.96 0.02 -0.91 -0.41 1.58 2.48 -0.56
